DEFAULT,yrsaddrs,age,crcdebt,yremploy,income,mrtgebal,BranchID,ncustbrch,CustID,Education,ATMpcent,onlinefreq,othdebt,carvalue
No,5,25,4.482769041,4,37.32702808,158,101,11797,1001,some college,69.62700013,2.367582023,8.577913856,6.93380305
No,9,31,5.389249034,9,61.05716078,169,101,11797,1002,high school,33.32165068,20.07157659,1.764067999,28.67901468
No,10,30,9.778608797,9,65.00223611,110,101,11797,1003,some college,37.51249866,0.072793886,5.924361602,5.917024097
Yes,1,50,4.327546769,7,28.94172709,258,101,11797,1004,high school,49.88130122,5.805540378,2.256127544,17.82737592
Yes,0,45,0.936392097,4,23.99760756,230,101,11797,1005,some college,24.38307583,2.653177138,4.152903005,22.91081708
No,11,38,1.378609202,12,48.32747267,367,101,11797,1006,some college,63.81762462,3.773703726,5.353276611,21.52908946
No,14,38,2.253385005,15,70.23826114,250,101,11797,1007,undergrad degree,27.87738952,0.815644658,5.319497024,30.79713468
Yes,4,40,0.178615378,7,66.44109355,264,101,11797,1008,some college,24.68341343,5.473374304,4.875350062,28.20058375
No,14,38,1.533554407,14,109.506292,134,101,11797,1009,some college,31.42363114,2.477992357,0,27.43664106
No,13,32,1.69952012,12,75.26458771,872,101,11797,1010,undergrad degree,73.22164659,2.327840208,3.945161643,17.15186699
No,4,28,2.170534582,4,52.65180926,106,101,11797,1011,postgrad degree,36.45782645,4.91466463,3.597440355,25.05828433
No,9,29,1.645357935,8,52.47911663,275,101,11797,1012,some college,49.45631926,4.025165782,1.2627321,18.51547803
Yes,11,29,1.096221993,10,73.46936367,1372,101,11797,1013,high school,72.47555842,13.12968184,5.924676112,20.64811555
No,11,31,0.421358752,10,57.02535249,284,101,11797,1014,undergrad degree,25.04700917,3.576655678,4.5917818,30.80094332
No,8,51,1.505917016,13,56.68671243,758,101,11797,1015,high school,45.47675529,3.251737988,4.21394519,12.59781867
Yes,4,23,6.677595048,2,42.84696425,736,101,11797,1016,undergrad degree,27.10393515,10.3672955,2.142361397,12.69873858
Yes,10,45,1.040302659,13,44.29131567,265,101,11797,1017,high school incomplete,21.38738694,1.624690337,0,18.36401694
No,9,77,1.412403329,20,50.22817744,200,101,11797,1018,high school,43.32227169,9.206986873,0,27.28976852
Yes,6,28,7.163092034,5,41.07570459,341,101,11797,1019,high school,69.364326,7.810955172,3.64208826,17.22459321
No,9,60,1.895171498,16,36.8996767,111,101,11797,1020,undergrad degree,45.63483179,4.171301747,0,5.882905032
Yes,0,45,2.773896984,4,28.87531316,397,101,11797,1021,undergrad degree,58.06271844,4.149998366,7.551658072,18.53116524
No,12,66,2.358271382,20,53.22538066,402,101,11797,1022,postgrad degree,28.81475618,10.72271244,0.01078294,28.73707883
No,8,29,0.599677829,7,67.49749667,300,101,11797,1023,high school,38.84277802,6.775178542,4.450257005,37.05765938
No,10,32,0.165113269,10,105.4834015,546,101,11797,1024,postgrad degree,43.71112204,6.723618149,0,10.27457675
Yes,6,50,5.041901422,11,45.46657185,70,101,11797,1025,high school,78.72014588,3.023185847,7.702889981,18.37515561
No,9,38,0.888901997,11,53.49888471,621,101,11797,1026,high school,22.36201566,5.187614833,1.279082937,23.9883908
No,12,30,1.320226497,11,77.23539454,424,101,11797,1027,some college,37.4113364,5.493739097,0,27.1849079
Yes,10,37,1.564099373,11,69.51118389,315,101,11797,1028,undergrad degree,21.0240355,13.41499368,0,30.30200942
Yes,11,28,0.761753765,9,74.32538108,338,101,11797,1029,some college,30.08466759,4.32876791,0,15.67230623
Yes,10,35,1.258330736,10,49.26841212,147,101,11797,1030,undergrad degree,65.42511696,3.242325518,2.106376481,20.80563159
No,1,46,7.064975099,6,63.84676805,1113,101,11797,1031,high school incomplete,76.9995655,5.632391807,10.64314197,15.47211274
No,12,35,7.192628822,12,107.9724086,246,101,11797,1032,some college,62.21102869,10.90376933,7.147336358,28.18588718
No,11,28,1.126334012,10,77.0572566,265,101,11797,1033,some college,32.25146677,22.43163409,0.141372568,21.09820564
Yes,6,26,6.288853877,5,65.0092434,341,101,11797,1034,some college,41.67677924,6.427380501,7.368730318,7.417153139
No,17,35,1.601125632,16,79.06118926,214,101,11797,1035,undergrad degree,51.62046237,5.230001211,3.380946338,22.52662282
No,7,27,0.138334743,6,93.02692106,85,101,11797,1036,undergrad degree,26.1155997,11.48419766,3.825513513,13.12362577
Yes,7,30,0.327070887,7,45.9430258,592,101,11797,1037,undergrad degree,19.41535388,5.32973685,0,19.8147682
Yes,6,45,5.313562258,10,53.33898292,193,101,11797,1038,undergrad degree,45.12120287,7.528531177,8.460488442,14.37977871
No,13,38,0.258137482,14,65.81640315,149,101,11797,1039,some college,22.58959679,3.710822282,0,24.7938013
No,18,74,3.281538282,27,139.5592719,532,101,11797,1040,postgrad degree,47.59195773,17.63424027,0,18.64627557
No,12,30,3.605748109,11,66.06415976,368,101,11797,1041,some college,17.55759336,1.037671371,4.381936345,14.92390238
Yes,8,29,11.81173735,7,34.46083795,653,101,11797,1042,some college,44.38182467,9.80880716,13.40990498,20.78582062
No,10,33,4.71221449,10,70.85190894,159,101,11797,1043,some college,65.30262297,5.417106758,4.438858933,22.17553348
No,14,58,1.551397391,20,79.01435812,249,101,11797,1044,undergrad degree,25.35604176,5.518374501,0,28.36116968
No,11,31,2.871381671,10,59.00926871,462,101,11797,1045,high school incomplete,29.98624706,0.001046,3.851629315,12.59201072
Yes,1,32,13.37055512,3,52.99498019,197,101,11797,1046,some college,67.4900894,4.366830406,10.37530896,12.75414029
No,12,33,1.559738766,12,84.00406126,600,101,11797,1047,some college,56.66310857,4.837682275,6.433615258,27.14245573
No,4,26,4.694276271,4,53.04674114,460,101,11797,1048,some college,57.32268025,2.55602248,4.566337349,27.34187003
Yes,7,36,1.978792019,9,40.64510424,366,101,11797,1049,undergrad degree,31.12750252,11.32032375,2.941312875,11.75380942
No,17,40,0.982723553,17,126.7933505,273,102,6533,1050,undergrad degree,28.52352846,8.993640276,4.335382852,16.69080724
No,7,24,0.889792333,5,39.50283835,162,102,6533,1051,high school,55.02031593,10.20640508,0.446330224,26.38636714
Yes,7,25,2.219890709,5,44.67821488,176,102,6533,1052,high school incomplete,16.03822319,4.962237184,6.369362088,21.59381926
No,6,27,2.156637125,6,111.1982967,324,102,6533,1053,some college,19.32691391,3.291707291,0.168296441,10.81286859
Yes,5,24,4.292085477,4,46.57066495,664,102,6533,1054,undergrad degree,38.88314446,6.778465649,7.863516246,29.90631161
Yes,2,35,0.4813711,4,28.10295884,457,102,6533,1055,some college,33.67837976,5.131842259,2.553109981,15.92776461
No,8,37,0.651018053,10,49.18692196,244,102,6533,1056,some college,19.40659087,5.369219341,2.757954654,10.83111925
Yes,14,35,4.582666521,14,110.3197357,1643,102,6533,1057,some college,31.66886505,3.457137889,5.42553859,17.44044282
Yes,8,34,0.128335356,9,44.11026812,408,102,6533,1058,some college,84.19316507,5.867942806,2.250173053,10.85052742
No,3,25,1.024118433,2,29.9355872,422,102,6533,1059,some college,34.50896413,3.082679775,0,20.63496833
No,11,36,1.467522006,12,153.4141822,351,102,6533,1060,undergrad degree,65.55699185,3.562344002,5.378966214,31.39655496
No,7,49,0.957531962,12,64.83872184,144,102,6533,1061,some college,32.02695088,10.60716187,2.222766124,20.51752564
No,9,40,0.483473744,12,46.33658679,421,102,6533,1062,some college,22.82580841,6.660791394,0,28.82281675
No,3,27,2.231544454,3,23.25287597,366,102,6533,1063,some college,72.56766545,1.218727461,0,19.61968611
Yes,8,33,0.613841053,8,65.70497648,621,102,6533,1064,high school incomplete,50.62756492,3.746647485,3.115865052,25.83130947
Yes,10,26,1.361232783,9,46.12763413,595,102,6533,1065,undergrad degree,36.00012024,1.485848827,0.307046765,17.76222804
